date,lounge_name,total_guests
2019-12-30,EK,1350
2019-12-30,EL,1321
2019-12-30,EM,844
2019-12-30,F,1902
2019-12-30,G,209
2019-12-31,EK,1138
2019-12-31,EL,984
2019-12-31,EM,828
2019-12-31,F,1220
2019-12-31,G,157
2020-01-01,EK,1392
2020-01-01,EL,1174
2020-01-01,EM,864
2020-01-01,F,1343
2020-01-01,G,164
2020-01-02,EK,1909
2020-01-02,EL,1685
2020-01-02,EM,889
2020-01-02,F,1628
2020-01-02,G,194
2020-01-03,EK,2056
2020-01-03,EL,1741
2020-01-03,EM,1150
2020-01-03,F,1738
2020-01-03,G,233
2020-01-04,EK,1999
2020-01-04,EL,2287
2020-01-04,EM,1070
2020-01-04,F,1771
2020-01-04,G,253
2020-01-05,EK,2285
2020-01-05,EL,2034
2020-01-05,EM,1159
2020-01-05,F,1983
2020-01-05,G,346
2020-01-06,EK,2461
2020-01-06,EL,2042
2020-01-06,EM,1269
2020-01-06,F,2525
2020-01-06,G,524
2020-01-07,EK,1897
2020-01-07,EL,1744
2020-01-07,EM,1074
2020-01-07,F,2480
2020-01-07,G,600
2020-01-08,EK,1890
2020-01-08,EL,1474
2020-01-08,EM,891
2020-01-08,F,2670
2020-01-08,G,515
2020-01-09,EK,1477
2020-01-09,EL,1180
2020-01-09,EM,896
2020-01-09,F,2304
2020-01-09,G,450
2020-01-10,EK,1735
2020-01-10,EL,1382
2020-01-10,EM,934
2020-01-10,F,2815
2020-01-10,G,504
2020-01-11,EK,1834
2020-01-11,EL,1789
2020-01-11,EM,1021
2020-01-11,F,1883
2020-01-11,G,321
2020-01-12,EK,2099
2020-01-12,EL,2215
2020-01-12,EM,1115
2020-01-12,F,2181
2020-01-12,G,397
2020-01-13,EK,2025
2020-01-13,EL,2233
2020-01-13,EM,1167
2020-01-13,F,3165
2020-01-13,G,619
2020-01-14,EK,1721
2020-01-14,EL,1468
2020-01-14,EM,628
2020-01-14,F,2637
2020-01-14,G,486
2020-01-15,EK,1742
2020-01-15,EL,1488
2020-01-15,EM,632
2020-01-15,F,2807
2020-01-15,G,433
2020-01-16,EK,1516
2020-01-16,EL,1349
2020-01-16,EM,659
2020-01-16,F,2956
2020-01-16,G,491
2020-01-17,EK,1665
2020-01-17,EL,1609
2020-01-17,EM,773
2020-01-17,F,3422
2020-01-17,G,628
2020-01-18,EK,1699
2020-01-18,EL,1707
2020-01-18,EM,974
2020-01-18,F,2014
2020-01-18,G,313
2020-01-19,EK,2219
2020-01-19,EL,1731
2020-01-19,EM,1045
2020-01-19,F,2322
2020-01-19,G,370
2020-01-20,EK,2044
2020-01-20,EL,2092
2020-01-20,EM,1271
2020-01-20,F,3209
2020-01-20,G,648
2020-01-21,EK,1536
2020-01-21,EL,1526
2020-01-21,EM,779
2020-01-21,F,2937
2020-01-21,G,540
2020-01-22,EK,1828
2020-01-22,EL,1583
2020-01-22,EM,582
2020-01-22,F,3042
2020-01-22,G,497
2020-01-23,EK,1655
2020-01-23,EL,1565
2020-01-23,EM,702
2020-01-23,F,3253
2020-01-23,G,589
2020-01-24,EK,1717
2020-01-24,EL,1599
2020-01-24,EM,749
2020-01-24,F,3360
2020-01-24,G,591
2020-01-25,EK,1572
2020-01-25,EL,1725
2020-01-25,EM,925
2020-01-25,F,2154
2020-01-25,G,255
2020-01-26,EK,1963
2020-01-26,EL,1845
2020-01-26,EM,1068
2020-01-26,F,2146
2020-01-26,G,377
2020-01-27,EK,1967
2020-01-27,EL,2220
2020-01-27,EM,952
2020-01-27,F,3347
2020-01-27,G,631
2020-01-28,EK,1543
2020-01-28,EL,1214
2020-01-28,EM,751
2020-01-28,F,2744
2020-01-28,G,593
2020-01-29,EK,1567
2020-01-29,EL,1293
2020-01-29,EM,693
2020-01-29,F,2917
2020-01-29,G,569
2020-01-30,EK,1716
2020-01-30,EL,1405
2020-01-30,EM,769
2020-01-30,F,3188
2020-01-30,G,583
2020-01-31,EK,1817
2020-01-31,EL,1531
2020-01-31,EM,877
2020-01-31,F,3314
2020-01-31,G,607
2020-02-01,EK,1698
2020-02-01,EL,1457
2020-02-01,EM,1120
2020-02-01,F,1956
2020-02-01,G,322
2020-02-02,EK,1863
2020-02-02,EL,1644
2020-02-02,EM,1202
2020-02-02,F,2363
2020-02-02,G,335
2020-02-03,EK,1882
2020-02-03,EL,2022
2020-02-03,EM,1162
2020-02-03,F,3192
2020-02-03,G,622
2020-02-04,EK,1473
2020-02-04,EL,1391
2020-02-04,EM,672
2020-02-04,F,2676
2020-02-04,G,499
2020-02-05,EK,1524
2020-02-05,EL,1416
2020-02-05,EM,725
2020-02-05,F,2823
2020-02-05,G,464
2020-02-06,EK,1616
2020-02-06,EL,1201
2020-02-06,EM,804
2020-02-06,F,3002
2020-02-06,G,502
2020-02-07,EK,1919
2020-02-07,EL,1455
2020-02-07,EM,899
2020-02-07,F,3218
2020-02-07,G,553
2020-02-08,EK,1642
2020-02-08,EL,1898
2020-02-08,EM,1092
2020-02-08,F,2209
2020-02-08,G,333
2020-02-09,EK,1266
2020-02-09,EL,1749
2020-02-09,EM,1735
2020-02-09,F,2215
2020-02-09,G,335
2020-02-10,EK,1670
2020-02-10,EL,1622
2020-02-10,EM,1427
2020-02-10,F,3032
2020-02-10,G,653
2020-02-11,EK,1787
2020-02-11,EL,1242
2020-02-11,EM,877
2020-02-11,F,2765
2020-02-11,G,573
2020-02-12,EK,1660
2020-02-12,EL,1358
2020-02-12,EM,851
2020-02-12,F,2875
2020-02-12,G,568
2020-02-13,EK,1487
2020-02-13,EL,1606
2020-02-13,EM,848
2020-02-13,F,3259
2020-02-13,G,539
2020-02-14,EK,1990
2020-02-14,EL,1343
2020-02-14,EM,916
2020-02-14,F,3362
2020-02-14,G,592
2020-02-15,EK,1765
2020-02-15,EL,1553
2020-02-15,EM,1046
2020-02-15,F,2201
2020-02-15,G,344
2020-02-16,EK,922
2020-02-16,EL,1737
2020-02-16,EM,1719
2020-02-16,F,2266
2020-02-16,G,343
2020-02-17,EK,1910
2020-02-17,EL,1707
2020-02-17,EM,1060
2020-02-17,F,2901
2020-02-17,G,630
2020-02-18,EK,1527
2020-02-18,EL,1355
2020-02-18,EM,608
2020-02-18,F,2676
2020-02-18,G,531
2020-02-19,EK,1369
2020-02-19,EL,1339
2020-02-19,EM,661
2020-02-19,F,2841
2020-02-19,G,512
2020-02-20,EK,1510
2020-02-20,EL,1269
2020-02-20,EM,756
2020-02-20,F,3141
2020-02-20,G,444
2020-02-21,EK,1662
2020-02-21,EL,1342
2020-02-21,EM,694
2020-02-21,F,3176
2020-02-21,G,616
2020-02-22,EK,1624
2020-02-22,EL,1488
2020-02-22,EM,1030
2020-02-22,F,2055
2020-02-22,G,363
2020-02-23,EK,1787
2020-02-23,EL,1590
2020-02-23,EM,1064
2020-02-23,F,2057
2020-02-23,G,352
2020-02-24,EK,2025
2020-02-24,EL,1797
2020-02-24,EM,974
2020-02-24,F,2728
2020-02-24,G,548
2020-02-25,EK,1370
2020-02-25,EL,1551
2020-02-25,EM,651
2020-02-25,F,2327
2020-02-25,G,536
2020-02-26,EK,1557
2020-02-26,EL,1113
2020-02-26,EM,632
2020-02-26,F,2384
2020-02-26,G,464
2020-02-27,EK,1382
2020-02-27,EL,1370
2020-02-27,EM,699
2020-02-27,F,2585
2020-02-27,G,469
2020-02-28,EK,1552
2020-02-28,EL,1340
2020-02-28,EM,740
2020-02-28,F,2573
2020-02-28,G,538
2020-02-29,EK,1253
2020-02-29,EL,1465
2020-02-29,EM,1213
2020-02-29,F,1817
2020-02-29,G,341
2020-03-01,EK,1784
2020-03-01,EL,1629
2020-03-01,EM,1051
